id,lang,type
YouTable,{},user
Narky Blert,{},user
AManWithNoPlan,{},user
Deepfriedokra,{},user
Chewings72,{},user
77.251.174.211,{},user
Speedyplane2247-M,{},user
89.197.68.205,{},user
MoofEMP,{},user
173.153.148.121,{},user
157.131.93.12,{},user
Oofta,{},user
74.139.102.34,{},user
Markhannelly,{},user
Bruhmoment42069,{},user
Path slopu,{},user
Bruh12564,{},user
FrescoBot,{},user
History of the People's Republic of China,{'en': 1},article
1975 Haicheng earthquake,{'en': 1},article
Cleansing the Class Ranks,{'en': 1},article
Ruijin Massacre,{'en': 1},article
Liste de massacres en Chine,{'fr': 1},article
Massacre de Nankin,{'fr': 1},article
Massacre de Guangxi,{'fr': 1},article
Massaker von Guangxi,{'de': 1},article
Revolución Cultural,{'es': 1},article
Masacre de Guangxi,{'es': 1},article
Genocidio camboyano,{'es': 1},article
Mao Zedong,{'es': 1},article
Represa Banqiao,{'es': 1},article
Colapso de la presa Banqiao,{'es': 1},article
文化大革命,{'ja': 1},article
Impact of the COVID-19 pandemic on television in the United States,{'en': 1},article
Rideback (production company),{'en': 1},article
Maniac Productions,{'en': 1},article
Fazekas & Butters,{'en': 1},article
National Counter Terrorism Agency,{'en': 1},article
Human rights in Italy,{'en': 1},article
Human rights in Syria,{'en': 1},article
Transgender personnel in the South Korean military,{'en': 1},article
2010 Jos riots,{'en': 1},article
"Thomas de Courtenay, 5. Earl of Devon",{'de': 1},article
Benutzer:NCC-1701-Picard/Michael-Jackson-Imitator,{'de': 1},article
Benutzer:Netrina23/Vivian Ostrovsky,{'de': 1},article
Pakistan Navy,{'de': 1},article
Black Museum,{'de': 1},article
Benutzer:Oesterreicher12/Levstik Award,{'de': 1},article
Ron Garvin,{'de': 1},article
Charles Ricketts,{'de': 1},article
Jorge Rodríguez Esquivel,{'es': 1},article
Calzada México-Tacuba,{'es': 1},article
Historia de Los Ángeles,{'es': 1},article
Latin American Idol (temporada 1),{'es': 1},article
Sanampay,{'es': 1},article
Guillermo Samperio,{'es': 1},article
Cassandra Ciangherotti,{'es': 1},article
Sebastián Crismanich,{'es': 1},article
Irene Uchida,{'es': 1},article
Talk:People's Mujahedin of Iran,{'en': 1},article
Glorious Revolution,{'en': 1},article
User talk:188.220.40.84,{'en': 1},article
Enigma machine,{'en': 1},article
Daniel Defoe,{'en': 1},article
Al Jazeera English,{'en': 1},article
Dynasties in Chinese history,{'en': 1},article
Avatar,{'en': 1},article
David Icke,{'en': 1},article
Soma (drink),{'en': 1},article
Utilisateur:El C,{'fr': 1},article
Utilisateur:El C/Brouillon,{'fr': 1},article
Discussion utilisateur:El C,{'fr': 1},article
COVID-19-Pandemie auf den Seychellen,{'de': 1},article
COVID-19-Pandemie in der Ukraine,{'de': 1},article
Manosphere,{'de': 1},article
Benutzer:Woodcut-like/Sommer-Militärweltspiele 2019,{'de': 1},article
Superstition Mountains,{'de': 1},article
The King’s Man,{'de': 1},article
La storia (romanzo),{'it': 1},article
Discussioni utente:El C,{'it': 1},article
Utente:El C,{'it': 1},article
Discussioni utente:Vermondo/Archivio01,{'it': 1},article
Lufthansa,{'en': 1},article
HK Express,{'en': 1},article
King George V School (Hong Kong),{'en': 1},article
The Human Condition (film series),{'en': 1},article
Christian Felber,{'de': 1},article
Alcohol laws of Australia,{'en': 1},article
Computer network,{'en': 1},article
Revolutionary Socialist Party (Leninist),{'en': 1},article
Weimar Republic,{'en': 1},article
Union of Right Forces,{'en': 1},article
Democratic Choice of Russia,{'en': 1},article
Union of October 17,{'en': 1},article
Coalition Council of Islamic Revolution Forces,{'en': 1},article
Friends of Hashemi,{'en': 1},article
Moderation and Development Party,{'en': 1},article
Christian Democratic National Peasants' Party,{'en': 1},article
Latvia,{'en': 1},article
Mouvement pour la Libération du Peuple Centrafricain,{'de': 1},article
Benutzer:Kurator71/Workers' Party (Turkey),{'de': 1},article
Pakistan Movement,{'de': 1},article
Brianna Fruean,{'de': 1},article
Wikipedia:Typo Team/moss/before A,{'en': 1},article
Wikipedia:Typo Team/moss/E,{'en': 1},article
Diamond Mine (King Creosote and Jon Hopkins album),{'en': 1},article
Dharma & Greg,{'en': 1},article
Hand washing,{'en': 1},article
Devizes White Horse,{'en': 1},article
Devin Shore,{'en': 1},article
Devil City Angels,{'en': 1},article
Utilisateur:AntonierCH/Brouillon/WP:Contributions tendancieuses,{'fr': 1},article
Motivated Reasoning,{'de': 1},article
Tramway de Pithiviers à Toury,{'de': 1},article
Kathedralbasilika St. Joseph,{'de': 1},article
Kommerzielle sexuelle Ausbeutung von Kindern,{'de': 1},article
Wikipedia:Staying cool when the editing gets hot,{'ja': 1},article
Discussioni utente:Abisys/Archivio01,{'it': 1},article
州際公路系統,{'zh': 1},article
Godzilla (franchise),{'en': 1},article
Chinese characters,{'en': 1},article
Classic Chinese Novels,{'en': 1},article
特撮,{'ja': 1},article
ノート:特撮,{'ja': 1},article
ACG,{'zh': 1},article
超人力霸王,{'zh': 1},article
超人力霸王系列,{'zh': 1},article
葛雷奥特曼,{'zh': 1},article
超人力霸王葛雷,{'zh': 1},article
Ichi the Killer (film),{'en': 1},article
Impact of the COVID-19 pandemic on the environment,{'en': 1},article
Dracula (Castlevania),{'en': 1},article
Template:RandMYunass,{'en': 1},article
Christina Applegate,{'en': 1},article
1952 Summer Olympics,{'en': 1},article
Impact of the COVID-19 pandemic on education,{'en': 1},article
Drummuckavall Ambush,{'en': 1},article
Elektron (satellite program),{'en': 1},article
Talk:Darkhan Assadilov,{'en': 1},article
Utilisateur:AntonierCH/Brouillon/Politique des deux enfants,{'fr': 1},article
Ashley Madison,{'fr': 1},article
Utilisateur:AntonierCH/Brouillon/Heure d'été par pays,{'fr': 1},article
Myprotein,{'de': 1},article
Abba Kyari,{'de': 1},article
Mineplex,{'de': 1},article
Simon Stålenhag,{'de': 1},article
COVID-19-Pandemie in Jamaika,{'de': 1},article
COVID-19-Pandemie in Estland,{'de': 1},article
Analía Almeida,{'es': 1},article
László Mednyánszky,{'it': 1},article
Charles Bachman,{'it': 1},article
"Haiyan County, Qinghai",{'en': 1},article
Haixi Mongol and Tibetan Autonomous Prefecture,{'en': 1},article
Da Qaidam,{'en': 1},article
User:CaradhrasAiguo/sandbox,{'en': 1},article
Changchun,{'en': 1},article
Jilin Provincial Museum,{'en': 1},article
"Aberavon (Wahlkreis, Vereinigtes Königreich)",{'de': 1},article
Umerziehungslager in Xinjiang,{'de': 1},article
乌兰浩特市,{'zh': 1},article
本溪市,{'zh': 1},article
安庆市,{'zh': 1},article
国际棋联大奖赛,{'zh': 1},article
杭嘉湖平原,{'zh': 1},article
Template:吉安市气候数据,{'zh': 1},article
Template:沈阳市气候数据,{'zh': 1},article
Template:北京市气候数据,{'zh': 1},article
Template:上海市气候数据,{'zh': 1},article
Frank Lloyd (actor),{'en': 1},article
Regal Theatre,{'en': 1},article
Frederick Ponzlov,{'en': 1},article
Kitty Winn,{'en': 1},article
Nabyl Lahlou,{'en': 1},article
Enda Oates,{'en': 1},article
Michael Wade (Canadian actor),{'en': 1},article
List of Rupert episodes,{'en': 1},article
Hamlet (1959 film),{'en': 1},article
Chicago Shakespeare Theater,{'en': 1},article
Tridha Choudhury,{'en': 1},article
Deepraj Rana,{'en': 1},article
Gunjan Vijaya,{'en': 1},article
Niki Aneja Walia,{'en': 1},article
Toarcian turnover,{'en': 1},article
Timothy John Entwisle,{'en': 1},article
Rohan Gandotra,{'en': 1},article
Samentha Fernandes,{'en': 1},article
Timeline of events related to per- and polyfluoroalkyl substances,{'en': 1},article
Nirmiti Sawant,{'en': 1},article
Triangulation de Delaunay,{'fr': 1},article
Benutzer:GWRo0106/Red Summer,{'de': 1},article
COVID-19-Pandemie in Angola,{'de': 1},article
Shi Zhengli,{'de': 1},article
Teorema de Aumann,{'es': 1},article
Carl XVI Gustaf of Sweden,{'en': 1},article
Jim Jones,{'en': 1},article
Fall of Constantinople,{'en': 1},article
Gustavus Adolphus of Sweden,{'en': 1},article
List of aircraft hijackings,{'en': 1},article
Antisemitic canard,{'en': 1},article
Genocide of Serbs in the Independent State of Croatia,{'en': 1},article
Type 055 destroyer,{'en': 1},article
Wikipedia:Requests for page protection,{'en': 1},article
User talk:2402:7500:4DC:6B18:E993:C2D3:F72C:3C68,{'en': 1},article
User talk:2402:7500:5DC:79C9:85D5:8A68:55A1:77E8,{'en': 1},article
Talk:Type 055 destroyer,{'en': 1},article
W put,{'de': 1},article
Waco siege,{'en': 1},article
M1 Abrams,{'en': 1},article
"Jefferson City, Missouri",{'en': 1},article
V-2 rocket,{'en': 1},article
User:Schierbecker/CSD log,{'en': 1},article
List of Thor and Delta launches (2020–29),{'en': 1},article
List of Thor and Delta launches (2020–2029),{'en': 1},article
Talk:List of Thor and Delta launches (2010–19),{'en': 1},article
Talk:List of Thor and Delta launches (2010–2019),{'en': 1},article
M8 Armored Gun System,{'fr': 1},article
Utilisateur:Punishar/Golf,{'fr': 1},article
James Surowiecki,{'fr': 1},article
Matt Dillahunty,{'de': 1},article
Benutzer:Rogi.Official/Artikel/Werkstatt/Medium.com,{'de': 1},article
Foreign Policy,{'de': 1},article
Salon.com,{'de': 1},article
Vox (Website),{'de': 1},article
Black Lives Matter,{'de': 1},article
Regressive left,{'de': 1},article
MGM-166 LOSAT,{'ru': 1},article
Wikipedia:Redirects for discussion/Log/2020 May 11,{'en': 1},article
Template:Movies.com,{'en': 1},article
Wikipedia talk:WikiProject Actors and Filmmakers,{'en': 1},article
Wikipedia:Templates for discussion/Log/2020 May 11,{'en': 1},article
Benutzerin:NadaZamurovic/Pavle Ivić,{'de': 1},article
Frangula californica,{'de': 1},article
Cyntoia Brown,{'de': 1},article
North Sea,{'en': 1},article
Population transfer in the Soviet Union,{'en': 1},article
2008 Summer Olympics,{'en': 1},article
"Charles V, Holy Roman Emperor",{'en': 1},article
Reginarids,{'en': 1},article
Maison de Valois-Bourgogne,{'fr': 1},article
Charles le Téméraire,{'fr': 1},article
État bourguignon,{'fr': 1},article
Леопольд I (король Бельгии),{'ru': 1},article
History of Medieval Arabic and Western European domes,{'en': 1},article
Dome,{'en': 1},article
Mass killings under communist regimes,{'en': 1},article
Symbolism of domes,{'en': 1},article
Fenârî-Îsâ-Moschee,{'de': 1},article
Gül-Moschee,{'de': 1},article
Nea Ekklēsia,{'de': 1},article
Chrysotriklinos,{'de': 1},article
Antiochos-Palast,{'de': 1},article
Philoxenos-Zisterne,{'de': 1},article
Soviet Decree,{'en': 1},article
1993 Russian constitutional crisis,{'en': 1},article
Richard Charles Morris,{'en': 1},article
Talk:Richard Morris (diplomat),{'en': 1},article
Richard Morris (diplomat),{'en': 1},article
List of ambassadors of the United Kingdom to Nepal,{'en': 1},article
List of writing systems,{'en': 1},article
Victor Grayson,{'en': 1},article
Unicode,{'en': 1},article
Huining Fu,{'fr': 1},article
Dynastie Jin (1115-1234),{'fr': 1},article
Pagode carrée de Baisikou,{'fr': 1},article
Pagodes jumelles de Baisikou,{'fr': 1},article
Modèle:Palette Unicode,{'fr': 1},article
Unicode,{'fr': 1},article
Prix Giles,{'fr': 1},article
Prix Stanislas-Julien,{'fr': 1},article
Vorlage:Unicodediskussionszentralisierungshinweis,{'de': 1},article
Vorlage:Navigationsleiste Schriftsysteme in Unicode,{'de': 1},article
Unicode-Konsortium,{'de': 1},article
Unicode,{'de': 1},article
Kothaufen-Emoji,{'de': 1},article
Welt-Emoji-Tag,{'de': 1},article
Pyu (Schrift),{'de': 1},article
50 Cent Party,{'de': 1},article
Marc Miyake,{'ja': 1},article
Unicode,{'ja': 1},article
ユニコードコンソーシアム,{'ja': 1},article
荒川慎太郎,{'ja': 1},article
燕子磯,{'ja': 1},article
劉熙載,{'ja': 1},article
末主 (西夏),{'ja': 1},article
Юникод,{'ru': 1},article
Блок Юникода,{'ru': 1},article
"Кычанов, Евгений Иванович",{'ru': 1},article
Книга гаданий,{'ru': 1},article
Unicode,{'it': 1},article
小林劍,{'zh': 1},article
畢可思,{'zh': 1},article
宁夏回族自治区博物馆,{'zh': 1},article
統一碼聯盟,{'zh': 1},article
Unicode字符列表,{'zh': 1},article
Unicode,{'zh': 1},article
回鹘可汗列表,{'zh': 1},article
契丹文,{'zh': 1},article
University for Foreigners Perugia,{'en': 1},article
User talk:181.209.233.123,{'en': 1},article
Guatemala,{'en': 1},article
User talk:2600:8800:6907:A400:832:A523:7FDF:CBFB,{'en': 1},article
AP United States History,{'en': 1},article
Wikipedia:Usernames for administrator attention,{'en': 1},article
Wikipedia:Requests for adminship/Creffett,{'en': 1},article
User talk:2601:145:4380:9140:B88F:5C84:9513:D0E2,{'en': 1},article
Sheila Dixon,{'en': 1},article
User talk:2A00:23C7:7F0E:6801:79E7:4B9C:3761:E11E,{'en': 1},article
Benutzer:Poldi jungdrache/Supernova Typ II,{'de': 1},article
Fettuccine Alfredo,{'de': 1},article
Totally Accurate Battle Simulator,{'de': 1},article
Benutzer:Struppi666/Elephant meat,{'de': 1},article
Operation Frankton,{'de': 1},article
Antuan Ilgit,{'de': 1},article
Tang Shaoyi,{'en': 1},article
Republic of China (1912–1949),{'en': 1},article
Nian Rebellion,{'en': 1},article
Panthay Rebellion,{'en': 1},article
User:Auspicious bwszd,{'en': 1},article
Talk:1989 Tiananmen Square protests,{'en': 1},article
