id,lang,type
Wei4Green,"{'en': 45, 'zh': 37}",user
Whiteghost.ink,"{'en': 27, 'zh': 0}",user
Marnie Hawes,"{'en': 1, 'zh': 0}",user
Clarityfiend,"{'en': 71, 'zh': 0}",user
Buffs,"{'en': 38, 'zh': 0}",user
BrownHairedGirl,"{'en': 95, 'zh': 1}",user
RL0919,"{'en': 88, 'zh': 1}",user
ImageRemovalBot,"{'en': 87, 'zh': 0}",user
DGG,"{'en': 74, 'zh': 0}",user
The Account 1,"{'en': 1, 'zh': 0}",user
ParadiseDesertOasis8888,"{'en': 45, 'zh': 0}",user
MetaClaudia,"{'en': 34, 'zh': 0}",user
Chrisbao8325,"{'en': 73, 'zh': 0}",user
AzfarShams,"{'en': 42, 'zh': 0}",user
RMCD bot,"{'en': 1, 'zh': 0}",user
嘉傑,"{'en': 2, 'zh': 2}",user
Mangokeylime,"{'en': 50, 'zh': 0}",user
Agamemnus,"{'en': 63, 'zh': 0}",user
Zozz747,"{'en': 30, 'zh': 0}",user
45.18.125.207,"{'en': 1, 'zh': 0}",user
Craftshafter420,"{'en': 1, 'zh': 0}",user
LizardJr8,"{'en': 83, 'zh': 0}",user
37.30.16.251,"{'en': 2, 'zh': 0}",user
208.98.201.126,"{'en': 1, 'zh': 0}",user
Nizolan,"{'en': 35, 'zh': 2}",user
14.0.172.136,"{'en': 1, 'zh': 4}",user
200.83.221.15,"{'en': 1, 'zh': 0}",user
Signedzzz,"{'en': 38, 'zh': 0}",user
27.67.189.35,"{'en': 1, 'zh': 0}",user
KolbertBot,"{'en': 101, 'zh': 0}",user
Alexkyoung,"{'en': 2, 'zh': 34}",user
Mistakefinder,"{'en': 81, 'zh': 89}",user
Jaywubba1887,"{'en': 57, 'zh': 0}",user
Error,"{'en': 57, 'zh': 0}",user
Mebden,"{'en': 66, 'zh': 0}",user
Lingzhi2,"{'en': 10, 'zh': 0}",user
Colipon,"{'en': 45, 'zh': 66}",user
Manabimasu,"{'en': 65, 'zh': 0}",user
Ealdgyth,"{'en': 51, 'zh': 0}",user
Jbitte,"{'en': 26, 'zh': 0}",user
Mdu02,"{'en': 28, 'zh': 0}",user
Mularoma,"{'en': 10, 'zh': 0}",user
ManuRoquette,"{'en': 31, 'zh': 0}",user
